material,wE,lambda,cap,band_rms_eV,kappa_min,eig_penalty,final_misfit_Ha
Al,0.05,0.005,0.55,0.381458,3.8535E-02,1.33348,0.0189168829552
Al,0.05,0.005,0.75,0.381458,3.8535E-02,1.33348,0.0189168829552
Al,0.05,0.005,0.95,0.381458,3.8535E-02,1.33348,0.0189168829552
Al,0.05,0.01,0.55,0.135859,1.6000E-02,1.81544,0.00777232337433
Al,0.05,0.01,0.75,0.374703,6.0755E-03,1.82297,0.0240953867301
Al,0.05,0.01,0.95,0.389342,3.9246E-02,1.27072,0.0236664116358
Al,0.05,0.02,0.55,0.135859,1.6000E-02,1.81544,0.00777232337433
Al,0.05,0.02,0.75,0.374703,6.0755E-03,1.82297,0.0240953867301
Al,0.05,0.02,0.95,0.374259,7.3951E-03,1.76774,0.0268186717847
Al,0.1,0.005,0.55,0.38375,3.8673E-02,1.32086,0.0188993152126
Al,0.1,0.005,0.75,0.383754,3.8673E-02,1.32102,0.0188993824585
Al,0.1,0.005,0.95,0.383754,3.8673E-02,1.32102,0.0188993824585
Al,0.1,0.01,0.55,0.105481,5.6548E-03,1.84678,0.00590663691833
Al,0.1,0.01,0.75,0.137687,1.1518E-02,1.8787,0.00885383444823
Al,0.1,0.01,0.95,0.390248,3.9450E-02,1.26683,0.023680935853
Al,0.1,0.02,0.55,0.105481,5.6548E-03,1.84678,0.00590663691833
Al,0.1,0.02,0.75,0.137687,1.1518E-02,1.8787,0.00885383444823
Al,0.1,0.02,0.95,0.374819,5.5161E-03,1.86283,0.02685877645
Al,0.15,0.005,0.55,0.383531,3.6302E-02,1.35125,0.0188573032931
Al,0.15,0.005,0.75,0.383531,3.6302E-02,1.35125,0.0188573032931
Al,0.15,0.005,0.95,0.383531,3.6302E-02,1.35125,0.0188573032931
Al,0.15,0.01,0.55,0.102747,8.5633E-03,1.80253,0.00582957687501
Al,0.15,0.01,0.75,0.53451003,1.3984E-02,1.93850339,NaN
Al,0.15,0.01,0.95,0.389017,3.9744E-02,1.27105,0.0236276705971
Al,0.15,0.02,0.55,0.102747,8.5633E-03,1.80253,0.00582957687501
Al,0.15,0.02,0.75,0.374854,9.1582E-03,1.78011,0.0240318905652
Al,0.15,0.02,0.95,0.375699,1.0975E-02,1.69523,0.0269226198676
