material,wE,lambda,cap,band_rms_eV,kappa_min,eig_penalty,final_misfit_Ha
Cu,0.05,0.001,0.55,0.0701471,1.1434E-03,1.75349,0.00397844006507
Cu,0.05,0.001,0.75,0.0701471,1.1434E-03,1.75349,0.00397844006507
Cu,0.05,0.001,0.95,0.0701471,1.1434E-03,1.75349,0.00397844006507
Cu,0.05,0.005,0.55,0.07041248,1.3032E-04,2.00474414,0.00411086945936
Cu,0.05,0.005,0.75,0.0696549,1.0368E-03,1.77257,0.00466811850538
Cu,0.05,0.005,0.95,0.0699731,1.0077E-03,1.77571,0.00524124902326
Cu,0.05,0.01,0.55,0.07041248,1.3032E-04,2.00474414,0.00411086945936
Cu,0.05,0.01,0.75,0.0696549,1.0368E-03,1.77257,0.00466811850538
Cu,0.05,0.01,0.95,0.0699731,1.0077E-03,1.77571,0.00524124902326
Cu,0.1,0.001,0.55,0.0733022,1.1165E-03,1.75784,0.00407895544496
Cu,0.1,0.001,0.75,0.0733022,1.1165E-03,1.75784,0.00407895544496
Cu,0.1,0.001,0.95,0.0733022,1.1165E-03,1.75784,0.00407895544496
Cu,0.1,0.005,0.55,0.0719322,6.5926E-04,1.83247,0.00423389290975
Cu,0.1,0.005,0.75,0.0710567,4.6927E-04,1.86175,0.00476064723064
Cu,0.1,0.005,0.95,0.0723947,1.9414E-04,1.99578,0.00532677315222
Cu,0.1,0.01,0.55,0.0719322,6.5926E-04,1.83247,0.00423389290975
Cu,0.1,0.01,0.75,0.0710567,4.6927E-04,1.86175,0.00476064723064
Cu,0.1,0.01,0.95,0.0723947,1.9414E-04,1.99578,0.00532677315222
Cu,0.15,0.001,0.55,0.0802575,4.2162E-04,1.9179,0.00420367292949
Cu,0.15,0.001,0.75,0.0802575,4.2162E-04,1.9179,0.00420367292949
Cu,0.15,0.001,0.95,0.0802575,4.2162E-04,1.9179,0.00420367292949
Cu,0.15,0.005,0.55,0.0757755,1.6872E-04,2.01544,0.00432144128814
Cu,0.15,0.005,0.75,0.07378169,2.9273E-04,1.87847220,0.00485763940142
Cu,0.15,0.005,0.95,0.0743519,3.3845E-04,1.89851,0.0053823128392
Cu,0.15,0.01,0.55,0.0757755,1.6872E-04,2.01544,0.00432144128814
Cu,0.15,0.01,0.75,0.0733305,4.6843E-04,1.86037,0.00483968230898
Cu,0.15,0.01,0.95,0.0743577,3.3955E-04,1.89841,0.00538926486883
