material,wE,lambda,cap,band_rms_eV,kappa_min,eig_penalty,final_misfit_Ha
Ni,0.005,0.001,0.55,0.049131,1.4240E-03,2.38853,0.00263357106142
Ni,0.005,0.001,0.75,0.0552213,4.9106E-03,2.03914,0.00297765339201
Ni,0.005,0.001,0.95,0.0552213,4.9106E-03,2.03914,0.00297765339201
Ni,0.005,0.005,0.55,0.0605782,5.7962E-06,2.76761,0.0033756964242
Ni,0.005,0.005,0.75,0.058341,7.4110E-06,2.70745,0.00373621018337
Ni,0.005,0.005,0.95,0.0581425,9.2161E-06,2.6859,0.00416276924908
Ni,0.005,0.01,0.55,0.05945540,4.3747E-06,2.75970170,0.003325605884
Ni,0.005,0.01,0.75,0.0585373,1.2575E-05,2.63536,0.0037333113316
Ni,0.005,0.01,0.95,0.0581436,9.6814E-06,2.66806,0.0041595738544
Ni,0.01,0.001,0.55,0.054753,6.2796E-03,2.05329,0.00242613127679
Ni,0.01,0.001,0.75,0.054753,6.2796E-03,2.05329,0.00242613127679
Ni,0.01,0.001,0.95,0.054753,6.2796E-03,2.05329,0.00242613127679
Ni,0.01,0.005,0.55,0.0601917,7.9745E-06,2.65148,0.00311344532329
Ni,0.01,0.005,0.75,0.0567521,1.5250E-05,2.44295,0.0036220228638
Ni,0.01,0.005,0.95,0.05832979,6.2090E-06,2.71029657,0.00417153490723
Ni,0.01,0.01,0.55,0.0601333,7.9605E-06,2.65188,0.00310701102255
Ni,0.01,0.01,0.75,0.0570697,1.5154E-05,2.45142,NaN
Ni,0.01,0.01,0.95,0.06035334,2.8219E-06,2.82973131,0.00432004758076
Ni,0.05,0.001,0.55,0.05960020,4.3780E-03,2.04031184,-0.00249847562462
Ni,0.05,0.001,0.75,0.05960020,4.3780E-03,2.04031184,-0.00249847562462
Ni,0.05,0.001,0.95,0.05960020,4.3780E-03,2.04031184,-0.00249847562462
Ni,0.05,0.005,0.55,0.0555841,4.4585E-03,2.04576,0.0005612293672
Ni,0.05,0.005,0.75,0.065953,3.1281E-05,2.47783,NaN
Ni,0.05,0.005,0.95,0.0586477,1.1424E-05,2.62722,0.00411655663603
Ni,0.05,0.01,0.55,0.0555841,4.4585E-03,2.04576,0.0005612293672
Ni,0.05,0.01,0.75,2.20322,4.8529E-05,2.6699,NaN
Ni,0.05,0.01,0.95,0.0550783,3.1223E-03,2.1066,0.00379769784462
