material,wE,lambda,cap,band_rms_eV,kappa_min,eig_penalty,final_misfit_Ha
Sn,0.05,0.005,0.75,0.49192916,3.21E-04,2.70667507,NaN
Sn,0.05,0.005,0.95,0.346912,1.92E-04,2.89208,0.023236971
Sn,0.05,0.005,1.15,0.214868,3.48E-04,2.44742,0.016658632
Sn,0.05,0.01,0.75,0.361571,1.71E-04,3.11037,NaN
Sn,0.05,0.01,0.95,0.285995,2.24E-04,2.66809,0.020487199
Sn,0.05,0.01,1.15,0.352882,6.15E-04,2.18706,0.028354633
Sn,0.05,0.02,0.75,0.361099,1.71E-04,3.11368,NaN
Sn,0.05,0.02,0.95,0.338596,3.01E-04,2.73818,0.023202955
Sn,0.05,0.02,1.15,0.361161,1.70E-04,3.12472,NaN
Sn,0.1,0.005,0.75,4.42218,3.75E-04,2.66431,NaN
Sn,0.1,0.005,0.95,0.348479,2.64E-04,2.78404,0.022758357
Sn,0.1,0.005,1.15,0.209981,3.43E-04,2.47369,0.016308047
Sn,0.1,0.01,0.75,4.91615,2.84E-04,2.74878,NaN
Sn,0.1,0.01,0.95,5.38651,2.98E-04,2.53637,NaN
Sn,0.1,0.01,1.15,0.293612,2.73E-04,2.48517,0.023256082
Sn,0.1,0.02,0.75,4.91738,3.00E-04,2.87821,NaN
Sn,0.1,0.02,0.95,2.95869,2.09E-04,3.0306,NaN
Sn,0.1,0.02,1.15,4.39593,1.96E-04,3.10438,NaN
Sn,0.2,0.005,0.75,0.237414,3.54E-04,2.35443,0.015731032
Sn,0.2,0.005,0.95,0.224552,3.24E-04,2.39902,0.016326096
Sn,0.2,0.005,1.15,0.218694,3.10E-04,2.41806,0.016983656
Sn,0.2,0.01,0.75,0.407437,2.81E-04,2.61489,0.024689259
Sn,0.2,0.01,0.95,0.382159,5.69E-04,2.24626,NaN
Sn,0.2,0.01,1.15,0.285001,3.89E-04,2.26613,0.023390711
Sn,0.2,0.02,0.75,0.407437,2.81E-04,2.61489,0.024689259
Sn,0.2,0.02,0.95,0.389051,1.20E-04,3.0723,NaN
Sn,0.2,0.02,1.15,0.397289,1.39E-04,2.94819,0.030722665
